,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,CBS,Sun May 31 17:23:02 +0000 2020,https://t.co/QupBjXGH3L,0.0,0.0,0.0,1.0,100
1,CBS,Sat May 30 16:12:28 +0000 2020,"RT @etnow: Take a look back at the father-son dynamic between Sean Connery and Harrison Ford in 'Indiana Jones and the Last Crusade.' Then,…",0.3818,0.102,0.0,0.898,99
2,CBS,Sat May 30 15:49:26 +0000 2020,"It's the special we all need right now. #HaircutNightCBS hosted by @RebeccaRomijn and @MrJerryOC, and featuring… https://t.co/UDxlppojlR",0.4019,0.144,0.0,0.856,98
3,CBS,Sat May 30 01:04:41 +0000 2020,RT @RebeccaRomijn: Ta daaaaa!!!!  Thank you @MrJerryOC #HaircutNightCBS https://t.co/c23b5kcje6,0.5673,0.314,0.0,0.686,97
4,CBS,Sat May 30 01:00:40 +0000 2020,Thanks for watching #HaircutNightCBS hosted by @RebeccaRomijn and @MrJerryOC. We hope that it inspires your most Zo… https://t.co/9w4UpI49E9,0.8271,0.367,0.0,0.633,96
5,CBS,Sat May 30 01:00:20 +0000 2020,"Sorry, we didn't have time to do your haircut, too, Phil. #HaircutNightCBS https://t.co/RhUfRqIDAa",-0.0772,0.0,0.098,0.902,95
6,CBS,Sat May 30 00:59:00 +0000 2020,This is the kind of drama we need on TV right now. #HaircutNightCBS https://t.co/zxLRlCVWgf,0.0,0.0,0.0,1.0,94
7,CBS,Sat May 30 00:56:04 +0000 2020,"When you realize ""The Romijn Event"" is not what you thought it would be. You're a brave woman, @RebeccaRomijn.… https://t.co/L7fbJUj9aF",0.5267,0.152,0.0,0.848,93
8,CBS,Sat May 30 00:52:43 +0000 2020,"When @RebeccaRomijn and @MrJerryOC signed on to do #HaircutNightCBS, they knew the stakes would be high. https://t.co/qEX6i6LBkR",0.0,0.0,0.0,1.0,92
9,CBS,Sat May 30 00:51:54 +0000 2020,"We mean, Girl... We're blown away by @lindsaylohan's blowout for all of Dubai to see. #HaircutNightCBS https://t.co/S1GljdYX9q",0.0,0.0,0.0,1.0,91
10,CBS,Sat May 30 00:47:31 +0000 2020,RT @MrJerryOC: Front Liners about to get their hair did!!!  #HaircutNightCBS https://t.co/0jFFSjUNdA,0.0,0.0,0.0,1.0,90
11,CBS,Sat May 30 00:46:16 +0000 2020,"Today is a freaky Friday indeed, @lindsaylohan. #HaircutNightCBS https://t.co/DVeaqJMQwB",-0.3612,0.0,0.238,0.762,89
12,CBS,Sat May 30 00:44:29 +0000 2020,"With or without a haircut, make sure you're looking around for frontline workers to thank for all they're doing.… https://t.co/DvAzsNCp3l",0.5859,0.211,0.0,0.789,88
13,CBS,Sat May 30 00:35:15 +0000 2020,RT @RebeccaRomijn: Cutest couple!!!  Somebody’s getting a haircut!  @PKSubban1 @lindseyvonn #HaircutNightCBS https://t.co/mrjtOjU8F1,0.7156,0.311,0.0,0.689,87
14,CBS,Sat May 30 00:33:03 +0000 2020,"Wait, how long have we been in quarantine? #HaircutNightCBS https://t.co/SKvtN5kl7h",0.0,0.0,0.0,1.0,86
15,CBS,Sat May 30 00:30:18 +0000 2020,"Going for the haircut gold, @lindseyvonn &amp; @PKSubban1. #HaircutNightCBS https://t.co/X4UQh3xhyV",0.0,0.0,0.0,1.0,85
16,CBS,Sat May 30 00:29:48 +0000 2020,RT @MrJerryOC: Um I love @KellyOsbourne That is all.  #HaircutNightCBS https://t.co/ebAMRyZFED,0.6369,0.296,0.0,0.704,84
17,CBS,Sat May 30 00:25:14 +0000 2020,"RT @Kerri_Lauren: Okay, if Lindsey Vonn was coming at my with the buzzer like that, I’d be terrified, too #HaircutNightCBS",-0.1531,0.173,0.157,0.669,83
18,CBS,Sat May 30 00:20:22 +0000 2020,"Oh, hey, Mrs. O. @MrsSOsbourne #HaircutNightCBS https://t.co/I5MYwoRR4W",0.0,0.0,0.0,1.0,82
19,CBS,Sat May 30 00:19:42 +0000 2020,.@KellyOsbourne is living to dye another day. #HaircutNightCBS https://t.co/e3mwdyZ9Qn,0.0,0.0,0.0,1.0,81
20,CBS,Sun May 31 17:23:02 +0000 2020,https://t.co/QupBjXGH3L,0.0,0.0,0.0,1.0,80
21,CBS,Sat May 30 16:12:28 +0000 2020,"RT @etnow: Take a look back at the father-son dynamic between Sean Connery and Harrison Ford in 'Indiana Jones and the Last Crusade.' Then,…",0.3818,0.102,0.0,0.898,79
22,CBS,Sat May 30 15:49:26 +0000 2020,"It's the special we all need right now. #HaircutNightCBS hosted by @RebeccaRomijn and @MrJerryOC, and featuring… https://t.co/UDxlppojlR",0.4019,0.144,0.0,0.856,78
23,CBS,Sat May 30 01:04:41 +0000 2020,RT @RebeccaRomijn: Ta daaaaa!!!!  Thank you @MrJerryOC #HaircutNightCBS https://t.co/c23b5kcje6,0.5673,0.314,0.0,0.686,77
24,CBS,Sat May 30 01:00:40 +0000 2020,Thanks for watching #HaircutNightCBS hosted by @RebeccaRomijn and @MrJerryOC. We hope that it inspires your most Zo… https://t.co/9w4UpI49E9,0.8271,0.367,0.0,0.633,76
25,CBS,Sat May 30 01:00:20 +0000 2020,"Sorry, we didn't have time to do your haircut, too, Phil. #HaircutNightCBS https://t.co/RhUfRqIDAa",-0.0772,0.0,0.098,0.902,75
26,CBS,Sat May 30 00:59:00 +0000 2020,This is the kind of drama we need on TV right now. #HaircutNightCBS https://t.co/zxLRlCVWgf,0.0,0.0,0.0,1.0,74
27,CBS,Sat May 30 00:56:04 +0000 2020,"When you realize ""The Romijn Event"" is not what you thought it would be. You're a brave woman, @RebeccaRomijn.… https://t.co/L7fbJUj9aF",0.5267,0.152,0.0,0.848,73
28,CBS,Sat May 30 00:52:43 +0000 2020,"When @RebeccaRomijn and @MrJerryOC signed on to do #HaircutNightCBS, they knew the stakes would be high. https://t.co/qEX6i6LBkR",0.0,0.0,0.0,1.0,72
29,CBS,Sat May 30 00:51:54 +0000 2020,"We mean, Girl... We're blown away by @lindsaylohan's blowout for all of Dubai to see. #HaircutNightCBS https://t.co/S1GljdYX9q",0.0,0.0,0.0,1.0,71
30,CBS,Sat May 30 00:47:31 +0000 2020,RT @MrJerryOC: Front Liners about to get their hair did!!!  #HaircutNightCBS https://t.co/0jFFSjUNdA,0.0,0.0,0.0,1.0,70
31,CBS,Sat May 30 00:46:16 +0000 2020,"Today is a freaky Friday indeed, @lindsaylohan. #HaircutNightCBS https://t.co/DVeaqJMQwB",-0.3612,0.0,0.238,0.762,69
32,CBS,Sat May 30 00:44:29 +0000 2020,"With or without a haircut, make sure you're looking around for frontline workers to thank for all they're doing.… https://t.co/DvAzsNCp3l",0.5859,0.211,0.0,0.789,68
33,CBS,Sat May 30 00:35:15 +0000 2020,RT @RebeccaRomijn: Cutest couple!!!  Somebody’s getting a haircut!  @PKSubban1 @lindseyvonn #HaircutNightCBS https://t.co/mrjtOjU8F1,0.7156,0.311,0.0,0.689,67
34,CBS,Sat May 30 00:33:03 +0000 2020,"Wait, how long have we been in quarantine? #HaircutNightCBS https://t.co/SKvtN5kl7h",0.0,0.0,0.0,1.0,66
35,CBS,Sat May 30 00:30:18 +0000 2020,"Going for the haircut gold, @lindseyvonn &amp; @PKSubban1. #HaircutNightCBS https://t.co/X4UQh3xhyV",0.0,0.0,0.0,1.0,65
36,CBS,Sat May 30 00:29:48 +0000 2020,RT @MrJerryOC: Um I love @KellyOsbourne That is all.  #HaircutNightCBS https://t.co/ebAMRyZFED,0.6369,0.296,0.0,0.704,64
37,CBS,Sat May 30 00:25:14 +0000 2020,"RT @Kerri_Lauren: Okay, if Lindsey Vonn was coming at my with the buzzer like that, I’d be terrified, too #HaircutNightCBS",-0.1531,0.173,0.157,0.669,63
38,CBS,Sat May 30 00:20:22 +0000 2020,"Oh, hey, Mrs. O. @MrsSOsbourne #HaircutNightCBS https://t.co/I5MYwoRR4W",0.0,0.0,0.0,1.0,62
39,CBS,Sat May 30 00:19:42 +0000 2020,.@KellyOsbourne is living to dye another day. #HaircutNightCBS https://t.co/e3mwdyZ9Qn,0.0,0.0,0.0,1.0,61
40,CBS,Sat May 30 00:16:41 +0000 2020,RT @RebeccaRomijn: Zexy @MrJerryOC sort of #HaircutNightCBS https://t.co/WdOCaQQDWA,0.0,0.0,0.0,1.0,60
41,CBS,Sat May 30 00:13:29 +0000 2020,"Right you are, @KellyOsbourne. @MrsSOsbourne taught you well. #HaircutNightCBS https://t.co/zuekm7Evvw",0.2732,0.189,0.0,0.811,59
42,CBS,Sat May 30 00:13:14 +0000 2020,RT @colket_dawn: #HaircutNightCBS is hilarious. @MrJerryOC and @RebeccaRomijn are an amazing couple. As someone who used to cut hair I am l…,0.6597,0.236,0.076,0.688,58
43,CBS,Sat May 30 00:10:21 +0000 2020,"The special isn't called Pants Night in America, folks. #HaircutNightCBS https://t.co/hQN4d2Wra5",0.4019,0.213,0.0,0.787,57
44,CBS,Sat May 30 00:10:04 +0000 2020,"Looking totally Efron, @MrJerryOC. Hope you're up to the task to style @RebeccaRomijn. #HaircutNightCBS https://t.co/RqUpx9i1Go",0.4877,0.184,0.0,0.816,56
45,CBS,Sat May 30 00:06:18 +0000 2020,"Marriage is built on trust, but this seems like it warrants an additional vow at the wedding. #HaircutNightCBS https://t.co/RAGemoUsqn",0.6597,0.241,0.0,0.759,55
46,CBS,Sat May 30 00:03:31 +0000 2020,"RT @CBSAllAccess: Join us to watch #HaircutNightCBS starting NOW on @CBS and #CBSAllAccess.

Have you had a quarantine haircut? If so, we w…",0.296,0.091,0.0,0.909,54
47,CBS,Sat May 30 00:02:47 +0000 2020,"It's like the rings of a tree trunk. Our roots mark how much time we've spent in quarantine, @RebeccaRomijn.… https://t.co/P0RYbLNS4L",0.3612,0.116,0.0,0.884,53
48,CBS,Sat May 30 00:02:04 +0000 2020,"Haircuts, @MrJerryOC. We want haircuts. #HaircutNightCBS https://t.co/oi89Kmkpe9",0.0772,0.178,0.0,0.822,52
49,CBS,Sat May 30 00:00:13 +0000 2020,"Shaggy Americans, #HaircutNightCBS hosted by @RebeccaRomijn and @MrJerryOC starts NOW on CBS. https://t.co/xJ75USnel5",0.0,0.0,0.0,1.0,51
50,CBS,Fri May 29 23:39:14 +0000 2020,RT @RebeccaRomijn: Don’t be so afraid @MrJerryOC #HaircutNightCBS https://t.co/rkWYbPsPOf,0.0,0.0,0.0,1.0,50
51,CBS,Fri May 29 23:28:40 +0000 2020,We hope #HaircutNightCBS turns out better for @RebeccaRomijn and @MrJerryOC than it did on @BandB_CBS. https://t.co/jTVALQRP2K,0.7003,0.293,0.0,0.707,49
52,CBS,Fri May 29 23:08:15 +0000 2020,RT @Nickelodeon: Shoutout to our sister network @CBS for providing us with our Sunday night movie plans 🧡 https://t.co/UwZCuBfIcO,0.6369,0.181,0.0,0.819,48
53,CBS,Fri May 29 22:29:44 +0000 2020,RT @CBSWatch: Talk about a pair of aces! The husband and wife team behind @thegoodfight and @evil are Hollywood’s reigning power couple. ❤️…,-0.69,0.0,0.169,0.831,47
54,CBS,Fri May 29 22:23:13 +0000 2020,"""Hair's"" to a fun night, @MrJerryOC! #HaircutNightCBS is just about to begin at 8/7c on CBS and @CBSAllAccess. https://t.co/j1PyJMvsZT",0.5562,0.166,0.0,0.834,46
55,CBS,Fri May 29 21:55:29 +0000 2020,Keep up with the Joneses when #CBSMovieNight airs Indiana Jones and the Last Crusade this Sunday at 8/7c on CBS and… https://t.co/8Cl8kgwrEH,0.0,0.0,0.0,1.0,45
56,CBS,Fri May 29 21:45:27 +0000 2020,RT @MrJerryOC: Should have put this in our vows @RebeccaRomijn #HaircutNightCBS at 8 https://t.co/ZUvltVyaz0,0.0,0.0,0.0,1.0,44
57,CBS,Fri May 29 21:36:49 +0000 2020,"RT @CBSAllAccess: Spend the weekend streaming the series premiere of @GameOn and all of season 4 of @TheGoodFight.
Check out these shows an…",0.0,0.0,0.0,1.0,43
58,CBS,Fri May 29 20:17:14 +0000 2020,"@TiVo We thought about doing #HaircutNightCBS last year, but we felt it didn't have the same impact. Now we think i… https://t.co/AgpCxrJR7k",0.0,0.0,0.0,1.0,42
59,CBS,Fri May 29 20:05:16 +0000 2020,RT @MATTHEWHOFFMAN1: Ma’ friend @MrJerryOC is helping America one haircut at a time! Tune in tonight to Haircut In America at 8:00 on @CBS…,0.69,0.206,0.0,0.794,41
60,CBS,Fri May 29 17:59:14 +0000 2020,RT @MrJerryOC: #HaircutNightCBS highlight was @lindseyvonn cutting @PKSubban1 hair and beard with guidance from Expert-Barber-Patrice.  Ton…,0.2263,0.134,0.084,0.782,40
61,CBS,Fri May 29 17:58:48 +0000 2020,"RT @TheTalkCBS: .@CBS continues CBS Sunday night at the movies with Indiana Jones and the Last Crusade!

🗣What are your special memories ab…",0.4574,0.115,0.0,0.885,39
62,CBS,Fri May 29 17:30:46 +0000 2020,Watch @RebeccaRomijn &amp; @MrJerryOC host #HaircutNightCBS TONIGHT at 8pm/7c on CBS and @CBSAllAccess. https://t.co/aJ1ibXGhbQ,0.0,0.0,0.0,1.0,38
63,CBS,Fri May 29 16:59:00 +0000 2020,X marks the spot for your TV Listings this weekend when #CBSMovieNight airs Indiana Jones and the Last Crusade this… https://t.co/aHboChPYyI,0.0,0.0,0.0,1.0,37
64,CBS,Fri May 29 16:19:02 +0000 2020,"RT @ViacomCBS: See how this week’s @CBS Sunday Movie Night feature, “@IndianaJones and the Last Crusade,” is connected to another @Paramoun…",0.0,0.0,0.0,1.0,36
65,CBS,Fri May 29 16:00:01 +0000 2020,"Get a haircut or dye trying. @MrJerryOC &amp; @RebeccaRomijn host #HaircutNightCBS, featuring @KellyOsbourne,… https://t.co/vWmVBD2c69",0.0,0.0,0.0,1.0,35
66,CBS,Thu May 28 23:07:33 +0000 2020,Be a part of the adventure using these Zoom backgrounds as you watch #CBSMovieNight's presentation of Indiana Jones… https://t.co/PYEhCqhT6g,0.3182,0.113,0.0,0.887,34
67,CBS,Thu May 28 21:37:13 +0000 2020,"RT @CBSThisMorning: Influential Asian-American figures tell us why they're proud of their heritage &amp; what it means to be #AAPI, especially…",0.7184,0.24,0.0,0.76,33
68,CBS,Thu May 28 21:13:09 +0000 2020,"RT @thegoodfight: ""Just keeps getting better."" -@IndieWire
All episodes of #TheGoodFight are now streaming, only on @CBSAllAccess. https://…",0.4404,0.146,0.0,0.854,32
69,CBS,Thu May 28 19:57:47 +0000 2020,RT @MrJerryOC: #HaircutNightInAmerica Press Day on our rickety stairs...  @cbs TOMORROW! https://t.co/i7M8UpNc68,0.0,0.0,0.0,1.0,31
70,CBS,Thu May 28 18:58:40 +0000 2020,".@MrJerryOC &amp; @RebeccaRomijn host #HaircutNightCBS, featuring America’s top hair stylists in an at-home DIY Celebri… https://t.co/IO81YkK657",0.2023,0.107,0.0,0.893,30
71,CBS,Thu May 28 17:09:30 +0000 2020,"RT @CBSAllAccess: If you could talk to the dead, what would you say?  #TheThomasJohnExperience drops June 4th, only on CBS All Access. http…",-0.6486,0.0,0.163,0.837,29
72,CBS,Thu May 28 16:47:24 +0000 2020,RT @katjaherbers: The cast of @evil got together to support @frontlinefoods ❤️ We donated meals cooked by locally owned restaurants impacte…,-0.4019,0.1,0.162,0.738,28
73,CBS,Thu May 28 16:13:35 +0000 2020,"RT @ToughAsNailsCBS: They're everyday Americans who get their hands dirty while working long, hard hours to keep the country running— meet…",-0.5106,0.0,0.185,0.815,27
74,CBS,Thu May 28 13:37:30 +0000 2020,.@HarryConnickJR hosts UNITED WE SING: A GRAMMY® SALUTE TO THE UNSUNG HEROES with performances &amp; appearances by… https://t.co/R1VYYKkyKx,0.8208,0.308,0.0,0.692,26
75,CBS,Thu May 28 03:13:39 +0000 2020,RT @Coolio: #Tune in for the #premiere of @gameon on @CBS the #best #gameshow out here yeah I said it.. #games #tvshow #fun #laugh @KeeganM…,0.9231,0.388,0.0,0.612,25
76,CBS,Thu May 28 00:13:05 +0000 2020,RT @gameon: That pretty much sums it up. #GameOn https://t.co/1PxvmuE9PK,0.4939,0.262,0.0,0.738,24
77,CBS,Thu May 28 00:02:12 +0000 2020,RT @RobGronkowski: #GameOn starts right now on CBS! Time for #TeamGronk to do some work! https://t.co/MCm75WfxTU,0.0,0.0,0.0,1.0,23
78,CBS,Thu May 28 00:02:08 +0000 2020,RT @Venuseswilliams: @GameOn starts right NOW. Retweet if you’re watching with us! https://t.co/8gN26vwrrC,0.0,0.0,0.0,1.0,22
79,CBS,Thu May 28 00:01:56 +0000 2020,RT @KeeganMKey: @gameon premieres right now on @CBS! There’s so much good stuff in tonight’s episode but the thing I’m most excited about i…,0.7114,0.212,0.0,0.788,21
80,CBS,Thu May 28 00:00:44 +0000 2020,RT @gameon: Ready...set...go! #GameOn premieres NOW! https://t.co/ZFMlRR01Ja,0.0,0.0,0.0,1.0,20
81,CBS,Wed May 27 23:59:27 +0000 2020,RT @TheTalkCBS: Hosts @SherylUnderwood and @MarieOsmond compete against @GameOn's @RobGronkowski in a relay race game of “Pony Up” with @th…,0.0,0.0,0.0,1.0,19
82,CBS,Wed May 27 23:52:27 +0000 2020,"RT @Venuseswilliams: I'm honored to be your captain tonight, @TheRealJRSmith! See you all for @GameOn at 8p on CBS! https://t.co/r8rUT4UA9T",0.658,0.187,0.0,0.813,18
83,CBS,Wed May 27 23:50:45 +0000 2020,"RT @CBSWatch: It's #GameOn for @KeeganMKey! The multi-hyphenate host of @CBS' new reality series @gameon talks sports, his hilarious and un…",0.4574,0.13,0.0,0.87,17
84,CBS,Wed May 27 23:32:32 +0000 2020,Get ready for the #GameOn premiere at 8/7c on CBS and @CBSAllAccess. https://t.co/8zSex6erBr,0.3612,0.172,0.0,0.828,16
85,CBS,Wed May 27 23:02:25 +0000 2020,"Hey, @RobGronkowski and @Venuseswilliams, you ready to live tweet? #GameOn https://t.co/8gJApmibdM",0.3612,0.2,0.0,0.8,15
86,CBS,Wed May 27 18:46:15 +0000 2020,RT @SEALTeamCBS: Missing #SEALTeam? Watch some of @David_Boreanaz's favorite episodes: https://t.co/pS0toXZEX5,0.2023,0.211,0.155,0.634,14
87,CBS,Wed May 27 17:16:45 +0000 2020,Celebrate #AsianPacificAmericanHeritageMonth with @CBSNews' @Elaine_Quijano and CBS. https://t.co/bLRQUtjXVG,0.5719,0.346,0.0,0.654,13
88,CBS,Wed May 27 17:08:26 +0000 2020,Watch the series premiere of @GameOn TONIGHT at 8/7c on CBS and @CBSAllAccess. https://t.co/FxIX023GcL,0.0,0.0,0.0,1.0,12
89,CBS,Wed May 27 17:00:18 +0000 2020,"RT @colbertlateshow: .@KeeganMKey is having a blast hosting @gameon, even when he’s upside down in monster truck! Check out the series prem…",0.0,0.0,0.0,1.0,11
90,CBS,Wed May 27 16:53:00 +0000 2020,@gameon @IanKarmel @Venuseswilliams @TheRealJRSmith @fluffyguy @RobGronkowski @bobbyleelive @KeeganMKey This counts… https://t.co/2uCZcfNeHc,0.0,0.0,0.0,1.0,10
91,CBS,Wed May 27 01:12:45 +0000 2020,"@MrJerryOC @RebeccaRomijn @CBSAllAccess Spoiler alert there, Jerry. 😉
Hair's to a great Friday #HaircutNightCBS!",0.7644,0.336,0.0,0.664,9
92,CBS,Wed May 27 01:11:20 +0000 2020,RT @sj39: Roll with it or something different; what's your endzone dance? Catch me tomorrow on the @gameon premiere on @CBS to watch me wit…,0.0,0.0,0.0,1.0,8
93,CBS,Wed May 27 01:10:44 +0000 2020,RT @MrJerryOC: We official now!  We got a hashtag!  #HaircutNightCBS tune in Friday to watch me burn @RebeccaRomijn hair off!  @cbs @CBSAll…,0.0,0.0,0.0,1.0,7
