,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Wed Jun 03 18:01:00 +0000 2020,"I've found your new lockdown activity. 🥢

#QI
https://t.co/MC6HZMDVz4",0.0,0.0,0.0,1.0,100
1,BBC,Wed Jun 03 16:01:00 +0000 2020,"The NHS has introduced a test and trace system to help the UK lift lockdown restrictions.

But what is it and how d… https://t.co/MVxxTLuaD1",0.2144,0.074,0.0,0.926,99
2,BBC,Wed Jun 03 13:01:00 +0000 2020,"""I hope this is a learning point for many people.""

@GeorgethePoet on @BBCNewsnight.
https://t.co/F14xxj6YRH",0.4404,0.182,0.0,0.818,98
3,BBC,Wed Jun 03 12:01:00 +0000 2020,"These monkeys are treated like gods! 🙉

#Primates is streaming now on @BBCiPlayer.
https://t.co/iFQTQBdvfh",0.4199,0.166,0.0,0.834,97
4,BBC,Wed Jun 03 11:01:00 +0000 2020,"This is the fascinating story of David Mayan, who fulfilled his lifelong dream of flying…

#OwnTheSky
https://t.co/xWTzYiJi1x",0.8074,0.372,0.0,0.628,96
5,BBC,Wed Jun 03 09:19:24 +0000 2020,RT @bbcpress: Watch out for Rachel Carey - @BBCOne’s hit thriller #TheCapture will return for a second series - https://t.co/BYuEXAj1G4 htt…,0.1027,0.065,0.0,0.935,95
6,BBC,Wed Jun 03 08:01:00 +0000 2020,"Ophelia channels the otherworldly art of her icon H.R. Giger, whose Academy Award-winning designs were used in the… https://t.co/LysBXdEK3R",0.0,0.0,0.0,1.0,94
7,BBC,Wed Jun 03 06:53:10 +0000 2020,RT @bbcpress: BBC Young Jazz Musician returns in 2020 to celebrate the wealth of young talent in UK jazz: https://t.co/5xwV4ft2Qm https://t…,0.8658,0.35,0.0,0.65,93
8,BBC,Tue Jun 02 14:55:56 +0000 2020,"RT @BBCR1: “You cannot enjoy the rhythm and ignore the blues”

This is incredibly powerful from @claraamfo on the death of George Floyd, ra…",-0.7127,0.096,0.281,0.623,92
9,BBC,Tue Jun 02 13:16:18 +0000 2020,"RT @BBCR1: ""This is your problem too. It's mine. It's yours. It's everybody's.""

@gregjames spoke about George Floyd's death, racism, and w…",-0.8934,0.0,0.36,0.64,91
10,BBC,Tue Jun 02 07:01:00 +0000 2020,"Just some adorable fox cubs having fun (or learning to hunt?) on a trampoline!  🦊

#Springwatch | 8pm | @BBCTwo &amp;… https://t.co/UEUsVZIGnF",0.7777,0.244,0.0,0.756,90
11,BBC,Mon Jun 01 19:01:00 +0000 2020,"Brand new sketch show #ComediansAtHome stars @RealBobMortimer's #TrainGuy, @MrMichaelSpicer's #RoomNextDoor, a lip… https://t.co/KLoKrKO3V9",0.0,0.0,0.0,1.0,89
12,BBC,Mon Jun 01 16:01:00 +0000 2020,"A million pound idea, or never in a million years?

The Dragons were quick to pull the plug on this bathtub pitch!… https://t.co/KLi5Qv4wcm",0.0,0.0,0.0,1.0,88
13,BBC,Mon Jun 01 13:01:00 +0000 2020,"There's been some exciting new arrivals at @chesterzoo recently... tiny mongoose triplets! 😍
https://t.co/0vEw4SkUN1",0.7574,0.302,0.0,0.698,87
14,BBC,Mon Jun 01 12:01:00 +0000 2020,When a filmmaking duo cast a bodybuilder to play ‘a sensitive muscleman’ they discovered an even more complex chara… https://t.co/ax5Nhe1dLA,0.34,0.112,0.0,0.888,86
15,BBC,Mon Jun 01 09:59:27 +0000 2020,"RT @BBCRadio1PR: ⚡️ ANNOUNCEMENT ⚡️ 

Aled Haydn Jones is the new Head of Radio 1. 

""I’m so proud to be taking the helm of the best youth…",0.8478,0.233,0.0,0.767,85
16,BBC,Mon Jun 01 09:01:00 +0000 2020,"Coronavirus: Which schools are reopening for pupils?

👉 https://t.co/K36eLS8hGL https://t.co/dzKXrQl8wp",0.0,0.0,0.0,1.0,84
17,BBC,Mon Jun 01 08:01:00 +0000 2020,"Actress @RoseMcGowan talks to @LouisTheroux about growing up in The Children of God cult.

Listen to the Grounded w… https://t.co/MAhgFPu3GG",0.4215,0.174,0.0,0.826,83
18,BBC,Sun May 31 19:01:00 +0000 2020,"Get the tissues ready! 😭

#BillyElliot follows a boy growing up in a mining community who opts for ballet rather th… https://t.co/4XoJd17Km2",0.1007,0.157,0.108,0.734,82
19,BBC,Sun May 31 18:01:00 +0000 2020,"#DragonsDen: Best Ever Pitches takes a look at some of the best - and oddest - pitches ever seen in the Den! 🔥

Ton… https://t.co/2RlYzTVbQI",0.807,0.263,0.073,0.665,81
20,BBC,Wed Jun 03 18:01:00 +0000 2020,"I've found your new lockdown activity. 🥢

#QI
https://t.co/MC6HZMDVz4",0.0,0.0,0.0,1.0,80
