 DateTime,Year,Month,Day,Max Temp  ,Min Temp ,Mean Temp  ,Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2018-02-14,2018,2,14,5.1,-10.4,-2.7,0,0,0,30,48
2018-02-15,2018,2,15,5.8,-4.5,0.7,0.8,0,0.8,25,35
2018-02-16,2018,2,16,3.4,-11.2,-3.9,0.2,0,0.2,18,46
2018-02-17,2018,2,17,-2.3,-14.3,-8.3,0,0,0,17,33
2018-02-18,2018,2,18,2.7,-6.9,-2.1,0,0.4,0,16,30
2018-02-19,2018,2,19,6.6,-5.1,0.8,4.2,0,4.2,14,35
2018-02-20,2018,2,20,2.1,0.6,1.4,13.6,0,13.6,8,31
2018-02-21,2018,2,21,9.2,-2.7,3.3,3.8,0,3.8,6,50
2018-02-22,2018,2,22,-2.5,-7.1,-4.8,0,0,0,4,31
2018-02-23,2018,2,23,2.8,-7,-2.1,5.4,0,5.4,4,35
2018-02-24,2018,2,24,2.8,-2.9,-0.1,0,0,0,4,41
2018-02-25,2018,2,25,7.7,-3.8,2,3.4,1,4,4,54
2018-02-26,2018,2,26,4.3,-1.2,1.6,0,0,0,2,41
2018-02-27,2018,2,27,9.1,-4.2,2.5,0,0,0,1,39
2018-02-28,2018,2,28,9.9,1,5.5,0,0,0,0,32
2018-03-01,2018,3,1,5.7,-1.2,2.3,0,0,0,0,39
2018-03-02,2018,3,2,0.8,-1.4,-0.3,0,0.6,0.4,0,46
2018-03-03,2018,3,3,2.8,-1.9,0.5,0,1.4,0.8,2,43
2018-03-04,2018,3,4,1.2,-3.4,-1.1,0,1.2,0.8,0,52
2018-03-05,2018,3,5,2.1,-4.5,-1.2,0,0,0,0,37
2018-03-06,2018,3,6,0.8,-1.7,-0.5,0,0,0,0,43
2018-03-07,2018,3,7,0,-2.5,-1.3,0,3.2,2.8,2,43
2018-03-08,2018,3,8,-1.4,-3.5,-2.5,0,7.2,7.2,2,31
2018-03-09,2018,3,9,0.8,-5.3,-2.3,0,4,3.4,8,31
2018-03-10,2018,3,10,0.7,-5.3,-2.3,0,0,0,8,44
2018-03-11,2018,3,11,0.5,-4.2,-1.9,0,0,0,7,35
2018-03-12,2018,3,12,1.2,-6.4,-2.6,0,1.2,0.8,6,31
2018-03-13,2018,3,13,-0.3,-1.8,-1.1,0,10.2,9.2,6,43
2018-03-14,2018,3,14,1,-2.5,-0.8,0,7.8,8.2,15,50
2018-03-15,2018,3,15,1.5,-5.4,-2,0,0,0,15,48
2018-03-16,2018,3,16,-4.4,-9.9,-7.2,0,0,0,14,56
2018-03-17,2018,3,17,-7.6,-14,-10.8,0,0,0,14,57
2018-03-18,2018,3,18,-4.7,-16.8,-10.8,0,0,0,13,35
2018-03-19,2018,3,19,-4.1,-14.5,-9.3,0,0,0,12,41
2018-03-20,2018,3,20,-0.4,-12.5,-6.5,0,0,0,12,31
2018-03-21,2018,3,21,2.8,-8.6,-2.9,0,0,0,11,31
2018-03-22,2018,3,22,5.3,-4.6,0.4,0,0,0,10,37
2018-03-23,2018,3,23,4.7,-4.4,0.2,0,0,0,9,41
2018-03-23,2018,3,23,4.7,-4.4,0.2,0,0,0,9,41
2018-03-25,2018,3,25,4.3,-6.2,-1,0,0,0,8,30
2018-03-26,2018,3,26,6,-5.8,0.1,0,0,0,8,30
2018-03-27,2018,3,27,6.7,-3.7,1.5,1.8,0.8,4.6,3,41
2018-03-28,2018,3,28,5.9,1.1,3.5,0.8,0,0.8,0,31
2018-03-29,2018,3,29,8.3,1.4,4.9,13,0,13,0,32
2018-03-30,2018,3,30,6.2,-2.8,1.7,2.6,0,2.6,0,44
2018-03-31,2018,3,31,8.8,-4.3,2.3,1,0,1,0,63
2018-04-01,2018,4,1,5.5,-4.3,0.6,0,0,0,0,67
2018-04-02,2018,4,2,5.2,-8.7,-1.8,0,0,0,0,41
2018-04-03,2018,4,3,6.9,-2.9,2,0,5,4.6,0,57
2018-04-04,2018,4,4,6.4,-9.3,-1.5,5.2,2,7,0,82
2018-04-05,2018,4,5,-1.6,-11.6,-6.6,0,0,0,0,59
2018-04-06,2018,4,6,3.4,-6.7,-1.7,0,0,0,0,44
2018-04-07,2018,4,7,1.9,-4.8,-1.5,0,0,0,0,63
2018-04-08,2018,4,8,0.9,-6.2,-2.7,0,0,0,0,46
2018-04-09,2018,4,9,2.7,-8,-2.7,0,0,0,0,33
2018-04-10,2018,4,10,6.4,-3.6,1.4,0,0,0,0,30
2018-04-11,2018,4,11,7.3,-4.2,1.6,1,0,1,0,56
2018-04-12,2018,4,12,7.8,-1.4,3.2,11.2,0,11.2,0,37
2018-04-13,2018,4,13,9.1,1.2,5.2,1.2,0,1.2,0,31
2018-04-14,2018,4,14,3.6,-5.1,-0.8,0,2.4,1,2,43
2018-04-15,2018,4,15,-1.6,-5.2,-3.4,11.4,1.4,14.6,0,67
2018-04-16,2018,4,16,1.2,-2,-0.4,23.2,0,24.2,1,74
2018-04-17,2018,4,17,1.6,-0.6,0.5,0.8,4.2,4.8,1,33
2018-04-18,2018,4,18,7.5,-0.5,3.5,0.4,0.8,0.8,2,44
2018-04-19,2018,4,19,3.3,-0.7,1.3,0,0,0,0,48
2018-04-20,2018,4,20,10.8,-1.6,4.6,0,0,0,0,46
2018-04-21,2018,4,21,12.4,-2.4,5,0,0,0,0,50
2018-04-22,2018,4,22,15.4,-2.9,6.3,0,0,0,0,30
2018-04-23,2018,4,23,20,-2.2,8.9,0,0,0,0,30
2018-04-24,2018,4,24,20.7,2.3,11.5,0,0,0,0,37
2018-04-25,2018,4,25,12.2,8.7,10.5,12.8,0,12.8,0,35
2018-04-26,2018,4,26,13.1,5.1,9.1,4.8,0,4.8,0,39
2018-04-27,2018,4,27,16.6,1.9,9.3,0,0,0,0,32
2018-04-28,2018,4,28,10.6,4.7,7.7,16.6,0,16.6,0,37
2018-04-29,2018,4,29,8.2,3.4,5.8,7,0,7,0,52
2018-04-30,2018,4,30,18.7,2.7,10.7,1.2,0,1.2,0,43
2018-05-01,2018,5,1,19.6,0.5,10.1,0,0,0,0,32
2018-05-02,2018,5,2,27.7,10.2,19,1.2,0,1.2,0,56
2018-05-03,2018,5,3,17.3,10.1,13.7,5.4,0,5.4,0,35
2018-05-04,2018,5,4,23.1,6.1,14.6,3,0,3,0,96
2018-05-05,2018,5,5,24.1,5.3,14.7,0,0,0,0,46
2018-05-06,2018,5,6,19.9,8.1,14,0,0,0,0,41
2018-05-07,2018,5,7,15.3,4.6,10,0,0,0,0,33
2018-05-08,2018,5,8,23,4.4,13.7,0,0,0,0,35
2018-05-09,2018,5,9,27.4,6.1,16.8,0,0,0,0,37
2018-05-10,2018,5,10,20.8,3.4,12.1,2,0,2,0,69
2018-05-11,2018,5,11,11.9,0.5,6.2,0,0,0,0,41
2018-05-12,2018,5,12,18.5,0.1,9.3,0,0,0,0,30
2018-05-13,2018,5,13,22.3,1.7,12,0,0,0,0,33
2018-05-14,2018,5,14,25.4,9.5,17.5,0,0,0,0,46
2018-05-15,2018,5,15,20,7.9,14,0.2,0,0.2,0,48
2018-05-16,2018,5,16,23.6,3,13.3,0,0,0,0,44
2018-05-17,2018,5,17,18.6,7.4,13,0,0,0,0,43
2018-05-18,2018,5,18,17.9,3,10.5,0,0,0,0,37
2018-05-19,2018,5,19,18.2,6.6,12.4,9.4,0,9.4,0,32
2018-05-20,2018,5,20,18,7.1,12.6,16.2,0,16.2,0,44
2018-05-21,2018,5,21,25.9,5.3,15.6,0,0,0,0,46
2018-05-22,2018,5,22,18.1,9.4,13.8,4.2,0,4.2,0,31
2018-05-23,2018,5,23,23.9,9.4,16.7,0,0,0,0,44
2018-05-24,2018,5,24,25.7,8.3,17,0,0,0,0,35
2018-05-25,2018,5,25,26.6,14.7,20.7,5.4,0,5.4,0,48
2018-05-26,2018,5,26,21.6,16.2,18.9,2.8,0,2.8,0,31
2018-05-27,2018,5,27,23.8,13.4,18.6,0,0,0,0,33
2018-05-28,2018,5,28,25.8,15.2,20.5,1,0,1,0,32
2018-05-29,2018,5,29,25.8,12.2,19,0,0,0,0,33
2018-05-30,2018,5,30,29.8,10.3,20.1,0,0,0,0,33
2018-05-31,2018,5,31,26.5,19.3,22.9,1.4,0,1.4,0,39
2018-06-01,2018,6,1,27.7,14.8,21.3,0.2,0,0.2,0,46
2018-06-02,2018,6,2,25.4,12.1,18.8,0,0,0,0,48
2018-06-03,2018,6,3,24.7,10.4,17.6,20.2,0,20.2,0,46
2018-06-04,2018,6,4,18.1,10.1,14.1,29.8,0,29.8,0,52
2018-06-05,2018,6,5,14.2,9.9,12.1,1.6,0,1.6,0,32
2018-06-06,2018,6,6,17.6,10.4,14,1.4,0,1.4,0,31
2018-06-07,2018,6,7,21.5,10.5,16,0,0,0,0,39
2018-06-08,2018,6,7,21.5,10.5,16,0,0,0,0,39
2018-06-09,2018,6,9,24,8,16,0,0,0,0,46
2018-06-10,2018,6,10,22.1,7.2,14.7,0,0,0,0,30
2018-06-11,2018,6,11,23.3,8,15.7,0,0,0,0,30
2018-06-12,2018,6,12,27.7,8.8,18.3,0,0,0,0,46
2018-06-13,2018,6,13,20.7,13.6,17.2,7.6,0,7.6,0,41
2018-06-14,2018,6,14,17.6,11.7,14.7,2,0,2,0,50
2018-06-15,2018,6,15,25.4,8.2,16.8,0,0,0,0,39
2018-06-16,2018,6,16,28.1,10.4,19.3,0,0,0,0,31
2018-06-17,2018,6,17,30.7,13.6,22.2,0,0,0,0,39
2018-06-18,2018,6,18,30.4,16.6,23.5,2.2,0,2.2,0,65
2018-06-19,2018,6,19,24.5,11.5,18,0,0,0,0,46
2018-06-20,2018,6,20,28.8,9.7,19.3,0,0,0,0,41
2018-06-21,2018,6,21,20.9,9.2,15.1,0,0,0,0,39
2018-06-22,2018,6,22,26.1,8.4,17.3,0,0,0,0,31
2018-06-23,2018,6,23,22.4,14.3,18.4,2.6,0,2.6,0,31
2018-06-24,2018,6,24,24.3,10.3,17.3,0.8,0,0.8,0,35
2018-06-25,2018,6,25,22.8,9.6,16.2,0,0,0,0,46
2018-06-26,2018,6,26,25.3,5.9,15.6,0,0,0,0,31
2018-06-27,2018,6,27,24.4,11.6,18,1.2,0,1.2,0,31
2018-06-28,2018,6,28,25.3,17.7,21.5,0.6,0,0.6,0,31
2018-06-29,2018,6,29,32.4,16.5,24.5,0,0,0,0,37
2018-06-30,2018,6,30,33.6,20.5,27.1,0.2,0,0.2,0,35
2018-07-01,2018,7,1,35.2,22.9,29.1,0,0,0,0,37
2018-07-02,2018,7,2,36,21.1,28.6,0.6,0,0.6,0,65
2018-07-03,2018,7,3,33.5,17.2,25.4,0,0,0,0,33
2018-07-04,2018,7,4,35,15.6,25.3,0,0,0,0,31
2018-07-05,2018,7,5,35,20.4,27.7,0,0,0,0,39
2018-07-06,2018,7,5,35,20.4,27.7,0,0,0,0,39
2018-07-07,2018,7,7,29.4,9.7,19.6,0,0,0,0,41
2018-07-08,2018,7,8,31.1,11,21.1,0,0,0,0,46
2018-07-09,2018,7,9,33.5,15.6,24.6,0,0,0,0,46
2018-07-10,2018,7,10,29.2,17.2,23.2,0,0,0,0,44
2018-07-11,2018,7,11,27.4,12.7,20.1,0,0,0,0,39
2018-07-12,2018,7,12,29.5,14,21.8,0,0,0,0,31
2018-07-13,2018,7,13,30.3,11.5,20.9,0,0,0,0,32
2018-07-14,2018,7,14,30.5,18.3,24.4,5.4,0,5.4,0,37
2018-07-15,2018,7,15,33,17.7,25.4,0,0,0,0,35
2018-07-16,2018,7,16,33.9,17.4,25.7,0.8,0,0.8,0,39
2018-07-17,2018,7,17,29.1,17.3,23.2,4.6,0,4.6,0,52
2018-07-18,2018,7,18,24.4,12.3,18.4,0,0,0,0,39
2018-07-19,2018,7,19,29.4,9.6,19.5,0,0,0,0,33
2018-07-20,2018,7,20,31.7,11.4,21.6,0,0,0,0,33
2018-07-21,2018,7,21,31.4,16.8,24.1,0,0,0,0,39
2018-07-22,2018,7,22,25,16.4,20.7,16.6,0,16.6,0,56
2018-07-23,2018,7,23,31.8,19.7,25.8,43,0,43,0,50
2018-07-24,2018,7,24,27.6,21.6,24.6,9.8,0,9.8,0,43
2018-07-25,2018,7,25,24.8,19.5,22.2,61.4,0,61.4,0,35
2018-07-26,2018,7,26,30.1,16.9,23.5,0,0,0,0,54
2018-07-27,2018,7,27,28.3,15.6,22,8.4,0,8.4,0,50
2018-07-28,2018,7,28,26.7,15.9,21.3,21.2,0,21.2,0,35
2018-07-29,2018,7,29,27.3,14.1,20.7,9,0,9,0,52
2018-07-30,2018,7,30,28.6,14.3,21.5,0,0,0,0,31
2018-07-31,2018,7,31,28.6,17.2,22.9,0,0,0,0,31
2018-08-01,2018,8,1,27,20.8,23.9,0.6,0,0.6,0,30
2018-08-02,2018,8,2,28.4,19.9,24.2,0,0,0,0,32
2018-08-03,2018,8,3,28.8,18.2,23.5,0,0,0,0,31
2018-08-04,2018,8,4,29.9,17.8,23.9,0,0,0,0,31
2018-08-05,2018,8,5,31.9,17.8,24.9,0,0,0,0,37
2018-08-06,2018,8,6,32.8,20.6,26.7,38.4,0,38.4,0,52
2018-08-07,2018,8,7,28.4,19.4,23.9,5.4,0,5.4,0,31
2018-08-08,2018,8,8,25.1,19,22.1,6.4,0,6.4,0,31
2018-08-09,2018,8,9,27.7,18,22.9,0,0,0,0,37
2018-08-10,2018,8,10,26.1,14.4,20.3,0,0,0,0,31
2018-08-11,2018,8,11,27.4,13,20.2,0,0,0,0,31
2018-08-12,2018,8,12,28.3,15.4,21.9,0,0,0,0,30
2018-08-13,2018,8,13,28.4,17.1,22.8,0,0,0,0,31
2018-08-14,2018,8,14,26.7,19.4,23.1,1.4,0,1.4,0,31
2018-08-15,2018,8,15,25.5,17.7,21.6,0.4,0,0.4,0,37
2018-08-16,2018,8,16,25,14.1,19.6,0,0,0,0,31
2018-08-17,2018,8,17,24.3,16.1,20.2,2.2,0,2.2,0,41
2018-08-18,2018,8,18,25.4,16.1,20.8,0,0,0,0,30
2018-08-19,2018,8,19,27.2,14.1,20.7,0,0,0,0,32
2018-08-20,2018,8,20,28,13.4,20.7,0,0,0,0,31
2018-08-21,2018,8,21,24,15.4,19.7,16,0,16,0,35
2018-08-22,2018,8,23,25.6,9.6,17.6,0,0,0,0,37
2018-08-23,2018,8,23,25.6,9.6,17.6,0,0,0,0,37
2018-08-24,2018,8,24,28.1,13.4,20.8,0,0,0,0,37
2018-08-25,2018,8,25,27.4,14.6,21,0.6,0,0.6,0,33
2018-08-26,2018,8,26,27.4,17.6,22.5,4,0,4,0,39
2018-08-27,2018,8,27,25.1,15.9,20.5,0.4,0,0.4,0,30
2018-08-28,2018,8,28,30.3,18.4,24.4,0,0,0,0,50
2018-08-29,2018,8,29,30,16.2,23.1,17.8,0,17.8,0,48
2018-08-30,2018,8,30,20.9,11.6,16.3,0,0,0,0,33
2018-08-31,2018,8,31,23.1,9.8,16.5,0,0,0,0,37
2018-09-01,2018,9,1,26.9,18,22.5,0.2,0,0.2,0,32
2018-09-02,2018,9,2,26.8,19.3,23.1,3,0,3,0,32
2018-09-03,2018,9,3,32,19,25.5,0,0,0,0,43
2018-09-04,2018,9,4,26,15.8,20.9,0.4,0,0.4,0,31
2018-09-05,2018,9,5,32,17.3,24.7,1.8,0,1.8,0,50
2018-09-06,2018,9,6,23.9,12,18,0,0,0,0,37
2018-09-07,2018,9,7,22.4,7.9,15.2,0,0,0,0,37
2018-09-08,2018,9,8,16.9,7.3,12.1,0,0,0,0,33
2018-09-09,2018,9,9,16.5,5.4,11,0,0,0,0,35
2018-09-10,2018,9,10,15.5,6.6,11.1,4.8,0,4.8,0,37
2018-09-11,2018,9,11,18.5,12.6,15.6,0.8,0,0.8,0,31
2018-09-12,2018,9,12,23.4,12.3,17.9,0,0,0,0,31
2018-09-13,2018,9,13,26.3,11.9,19.1,0,0,0,0,31
2018-09-14,2018,9,14,28.4,13,20.7,0,0,0,0,31
2018-09-15,2018,9,15,29.9,18.1,24,0,0,0,0,31
2018-09-16,2018,9,16,29.6,16.9,23.3,0,0,0,0,31
2018-09-17,2018,9,17,29.5,16.6,23.1,0,0,0,0,41
2018-09-18,2018,9,18,23.2,12.3,17.8,0,0,0,0,35
2018-09-19,2018,9,19,17,8.3,12.7,0,0,0,0,31
2018-09-20,2018,9,20,17.1,7.8,12.5,1,0,1,0,32
2018-09-21,2018,9,21,28.3,12.8,20.6,31.6,0,31.6,0,78
2018-09-22,2018,9,22,15.1,5.5,10.3,0,0,0,0,65
2018-09-23,2018,9,23,16.3,3.4,9.9,0,0,0,0,39
2018-09-24,2018,9,24,14.3,5,9.7,0,0,0,0,43
2018-09-25,2018,9,25,17.5,7.2,12.4,9.8,0,9.8,0,31
2018-09-26,2018,9,26,24.1,7.7,15.9,8.6,0,8.6,0,54
2018-09-27,2018,9,27,17.8,3.9,10.9,0,0,0,0,31
2018-09-28,2018,9,28,20.4,7.9,14.2,3.4,0,3.4,0,54
2018-09-29,2018,9,29,14.8,5.4,10.1,2.4,0,2.4,0,43
2018-09-30,2018,9,30,11,4.7,7.9,1,0,1,0,31
2018-10-01,2018,10,1,13,6.4,9.7,2.4,0,2.4,0,31
2018-10-02,2018,10,2,10.1,6.7,8.4,9.4,0,9.4,0,39
2018-10-03,2018,10,3,12.6,9,10.8,0,0,0,0,31
2018-10-04,2018,10,4,24.4,4.1,14.3,5.4,0,5.4,0,57
2018-10-05,2018,10,5,10.6,2.1,6.4,0,0,0,0,32
2018-10-06,2018,10,6,9.3,5.6,7.5,0,0,0,0,30
2018-10-07,2018,10,7,11.2,7.3,9.3,0,0,0,0,32
2018-10-08,2018,10,8,10.1,5.8,8,5.4,0,5.4,0,33
2018-10-09,2018,10,9,27.3,8.3,17.8,0,0,0,0,44
2018-10-10,2018,10,10,27.5,9.8,18.7,0.4,0,0.4,0,35
2018-10-11,2018,10,11,11.8,8.5,10.2,4.8,0,4.8,0,39
2018-10-12,2018,10,12,11.1,4.8,8,0,0,0,0,50
2018-10-13,2018,10,13,9,1.6,5.3,0,0,0,0,43
2018-10-14,2018,10,14,14.4,-0.1,7.2,0,0,0,0,37
2018-10-15,2018,10,15,11.7,1.5,6.6,3.2,0,3.2,0,70
2018-10-16,2018,10,16,9.1,1.4,5.3,0,0,0,0,46
2018-10-17,2018,10,17,8.5,-0.2,4.2,0.4,0,0.4,0,59
2018-10-18,2018,10,18,4.8,-1.6,1.6,0,0,0,0,48
2018-10-19,2018,10,19,16.6,2.2,9.4,0,0,0,0,52
2018-10-20,2018,10,20,11.9,0.4,6.2,1.2,0,1.2,0,56
2018-10-21,2018,10,21,3.6,-1,1.3,0,0,0,0,50
2018-10-22,2018,10,22,5,-1.6,1.7,0,0,0,0,31
2018-10-23,2018,10,23,10.3,0.4,5.4,0,0,0,0,33
2018-10-24,2018,10,24,8.9,1,5,0,0,0,0,41
2018-10-25,2018,10,25,4.2,-2.7,0.8,0,0,0,0,37
2018-10-26,2018,10,26,5,-5,0,0,0,0,0,31
2018-10-27,2018,10,27,4.7,-1.7,1.5,2.6,3.4,7.6,0,54
2018-10-28,2018,10,28,1.8,0.2,1,0.4,5,4,0,35
2018-10-29,2018,10,29,4.9,0.7,2.8,2.2,0,2.2,0,35
2018-10-30,2018,10,30,6.8,-0.4,3.2,0,0,0,0,39
2018-10-31,2018,10,31,3.7,0.3,2,12.2,0,12.2,0,35
2018-11-01,2018,11,1,7.4,2.3,4.9,8.8,0,8.8,0,41
2018-11-02,2018,11,2,4.5,1.9,3.2,8.8,0,8.8,0,46
2018-11-03,2018,11,3,4.5,0.8,2.7,2.2,0,2.2,0,67
2018-11-04,2018,11,4,6.9,-1.7,2.6,0,0,0,0,42
2018-11-05,2018,11,5,5.2,1.7,3.5,1.9,0,1.9,0,45
2018-11-06,2018,11,6,12.8,4.7,8.8,6.6,0,6.6,0,54
2018-11-07,2018,11,7,11.4,3.6,7.5,1.6,0,1.6,0,61
2018-11-08,2018,11,8,8.1,-2.2,3,0,0,0,0,41
2018-11-09,2018,11,9,1.4,-4,-1.3,0.1,4.4,8.7,2,50
2018-11-10,2018,11,10,3,-3.3,-0.2,0.2,0,0.2,2,68
2018-11-11,2018,11,11,-0.4,-7.1,-3.8,0,0,0,1,42
2018-11-12,2018,11,12,5.2,-5.7,-0.3,2,0.4,2.2,0,50
2018-11-13,2018,11,13,1.6,-8.9,-3.7,1,5.4,5.6,3,58
2018-11-14,2018,11,14,-7,-13,-10,0,0.4,0.2,3,46
2018-11-15,2018,11,15,-5.7,-12.2,-9,0,2.4,2.3,3,50
2018-11-16,2018,11,16,-1,-7.4,-4.2,0,14.6,9.6,8,32
2018-11-17,2018,11,17,1,-12.5,-5.8,0,1.8,1,15,45
2018-11-18,2018,11,18,-2.2,-15,-8.6,0,0,0,14,50
2018-11-19,2018,11,19,0.1,-4.9,-2.4,0,5.2,2.8,16,32
2018-11-20,2018,11,20,-4.7,-10.9,-7.8,0,4.8,2.4,17,50
2018-11-21,2018,11,21,-3.2,-18.1,-10.7,0,4.2,2,24,59
2018-11-22,2018,11,22,-10.2,-18.7,-14.5,0,0,0,24,46
2018-11-23,2018,11,23,-3.9,-21.2,-12.6,0,0,0,23,50
2018-11-24,2018,11,24,0.4,-11.7,-5.7,1.1,0,1.1,21,32
2018-11-25,2018,11,25,5,0.4,2.7,6.6,0,6.6,15,50
2018-11-26,2018,11,26,2.6,0.8,1.7,13.2,0,13.2,2,42
2018-11-27,2018,11,27,1.3,-0.7,0.3,1,12.6,8.6,2,42
2018-11-28,2018,11,28,2,-0.9,0.6,0,4.8,3.2,14,41
2018-11-29,2018,11,29,2,-0.8,0.6,0,0,0,11,33
2018-11-30,2018,11,30,-0.3,-1.6,-1,0,0,0,8,50
2018-12-01,2018,12,1,1.8,-6.5,-2.4,0,0,0,6,39
2018-12-02,2018,12,2,1.1,-1.4,-0.2,7.2,3.2,9,4,46
2018-12-03,2018,12,3,1.6,-4.5,-1.5,1.6,2.2,2.8,1,50
2018-12-04,2018,12,4,-4.5,-8.5,-6.5,0,0,0,1,42
2018-12-05,2018,12,5,-3.9,-10.3,-7.1,0,4,1.8,1,50
2018-12-06,2018,12,6,0.4,-11.4,-5.5,0,0,0,5,54
2018-12-07,2018,12,7,-6.7,-20.1,-13.4,0,0,0,5,45
2018-12-08,2018,12,8,-7.6,-20.7,-14.2,0,0,0,5,50
2018-12-09,2018,12,9,-0.7,-10.8,-5.8,0,0,0,5,54
2018-12-10,2018,12,10,-4.7,-14.8,-9.8,0,0,0,5,32
2018-12-11,2018,12,11,-6.6,-10,-8.3,0,6,3,5,50
2018-12-12,2018,12,12,-5.9,-14.3,-10.1,0,0,0,11,35
2018-12-13,2018,12,13,-7.8,-15.8,-11.8,0,0,0,11,50
2018-12-14,2018,12,14,2.3,-8.5,-3.1,10,0,10,10,50
2018-12-15,2018,12,15,3.1,-3.4,-0.2,0,0,0,8,50
2018-12-16,2018,12,16,0.6,-5.2,-2.3,0,0,0,5,32
2018-12-17,2018,12,17,0.3,-8.4,-4.1,0,0.8,0.4,5,59
2018-12-18,2018,12,18,-6.6,-13.8,-10.2,0,0,0,5,45
2018-12-19,2018,12,19,-1.9,-12.3,-7.1,0,0,0,5,50
2018-12-20,2018,12,20,1.8,-8.4,-3.3,1.6,0,1.6,5,50
2018-12-21,2018,12,21,4.6,-0.3,2.2,14.2,0,14.2,2,54
2018-12-22,2018,12,22,1.8,-9.3,-3.8,3.8,3.2,5.6,4,54
2018-12-23,2018,12,23,-8.6,-13,-10.8,0,0,0,4,33
2018-12-24,2018,12,24,-6.8,-14.5,-10.7,0,1.8,0.8,4,35
2018-12-25,2018,12,25,-11.6,-18.4,-15,0,0,0,5,50
2018-12-26,2018,12,26,-5.2,-17.9,-11.6,0,1.4,0.2,5,37
2018-12-27,2018,12,27,-8.8,-18,-13.4,0,0,0,6,45
2018-12-28,2018,12,28,6.7,-8.8,-1.1,13.8,1,15.4,7,41
2018-12-29,2018,12,29,6.6,-13.7,-3.6,1.4,0,1.4,3,52
