 DateTime,Year,Month,Day,Max Temp  ,Min Temp ,Mean Temp  ,Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2018-01-01,2018,1,1,-18.9,-30.2,-24.6,0,0,0,33,31
2018-01-02,2018,1,2,-7.1,-27.2,-17.2,0,2.6,1.6,33,50
2018-01-03,2018,1,3,-6.9,-10,-8.5,0,0,0,35,46
2018-01-04,2018,1,4,-7.8,-20.2,-14,0,5,1,35,57
2018-01-05,2018,1,5,-20.2,-25.2,-22.7,0,0,0,35,63
2018-01-06,2018,1,6,-21.2,-25.6,-23.4,0,0,0,35,56
2018-01-07,2018,1,7,-9.3,-27.9,-18.6,0,9,5,35,32
2018-01-08,2018,1,8,1.1,-9.3,-4.1,0,10.2,8,50,43
2018-01-09,2018,1,9,0,-14,-7,0,0,0,48,54
2018-01-10,2018,1,10,-0.8,-18.2,-9.5,0.6,0,0.6,47,32
2018-01-11,2018,1,11,9.3,-1.6,3.9,9.6,0,9.6,45,41
2018-01-12,2018,1,12,11.9,-13,-0.6,7.4,8.6,14.6,16,59
2018-01-13,2018,1,13,-12.9,-20.9,-16.9,0,8.2,4.8,22,56
2018-01-14,2018,1,14,-16,-27.2,-21.6,0,0,0,20,31
2018-01-15,2018,1,15,-15.2,-24.4,-19.8,0,0.2,0.2,20,39
2018-01-16,2018,1,16,-11.1,-17.3,-14.2,0,3.4,2,19,31
2018-01-17,2018,1,17,-5.4,-17.7,-11.6,0,2,0.4,18,37
2018-01-18,2018,1,18,-4.6,-7,-5.8,0,0.6,0,18,46
2018-01-19,2018,1,19,0.4,-5.2,-2.4,0,0,0,15,39
2018-01-20,2018,1,20,5.5,-0.4,2.6,0,0,0,14,48
2018-01-21,2018,1,21,1.4,-3.5,-1.1,0,0.4,0.4,11,31
2018-01-22,2018,1,22,-3.2,-7.7,-5.5,0,8.4,8.8,10,59
2018-01-23,2018,1,23,3.1,-6.1,-1.5,2.8,0,2.8,15,67
2018-01-24,2018,1,24,-6.2,-14.6,-10.4,0,0,0,10,57
2018-01-25,2018,1,25,-10.7,-17.6,-14.2,0,0,0,10,37
2018-01-26,2018,1,26,-6.1,-19.1,-12.6,0,0,0,10,30
2018-01-27,2018,1,27,6.8,-12.3,-2.8,0,0,0,10,48
2018-01-28,2018,1,28,4,-7.3,-1.7,0,0,0,9,44
2018-01-29,2018,1,29,-6.6,-11.7,-9.2,0,0,0,8,31
2018-01-30,2018,1,30,-8.8,-16.7,-12.8,0,0,0,8,33
2018-01-31,2018,1,31,-10.7,-20.6,-15.7,0,5.2,4.8,8,30
2018-02-01,2018,2,1,5,-11.7,-3.4,0,0.2,0,12,56
2018-02-02,2018,2,2,-11.7,-20.3,-16,0,0,0,10,41
2018-02-03,2018,2,3,-6.6,-19.4,-13,0,3,2.4,10,33
2018-02-04,2018,2,4,0.5,-7.5,-3.5,0,12,5.2,13,37
2018-02-05,2018,2,5,-7.3,-16.4,-11.9,0,1,0.4,21,52
2018-02-06,2018,2,6,-5.6,-16.9,-11.3,0,0.6,1,21,30
2018-02-07,2018,2,7,-8.8,-17.4,-13.1,0,7.6,6.2,20,35
2018-02-08,2018,2,8,-6.4,-21.1,-13.8,0,0,0,26,32
2018-02-09,2018,2,9,-6.3,-16.6,-11.5,0.4,2.4,1.6,26,33
2018-02-10,2018,2,10,-5.2,-9.2,-7.2,0,5,4,28,31
2018-02-11,2018,2,11,-2.5,-10.7,-6.6,3,0.4,3.8,31,44
2018-02-12,2018,2,12,-4.4,-14.8,-9.6,0,0,0,30,43
2018-02-13,2018,2,13,-6.6,-20.4,-13.5,0,0,0,30,31
